"","X2.gram","X...","frequency"
"140","DO",5307591560,0.00188234971058648
"141","UC",5291161134,0.00187652262173153
"142","BU",5214802738,0.00184944193871616
"143","EI",5169898489,0.00183351654220557
"144","OV",5021440160,0.00178086544999769
"145","BY",4975814759,0.00176468429525041
"146","RM",4938158020,0.00175132924504412
"147","EP",4837800987,0.00171573738951278
"148","TT",4812693687,0.00170683302708128
"149","OC",4692062395,0.00166405085836748
"150","FA",4624241031,0.00163999785363759
"151","EF",4588497002,0.00162732115048839
"152","CU",4585165906,0.00162613976953232
"153","RN",4521640992,0.00160361051080336
"154","SC",4363410770,0.00154749379397978
"155","GI",4275639800,0.00151636561501014
"156","DA",4259590348,0.00151067363947176
"157","YO",4226720021,0.00149901610143103
"158","CR",4214150542,0.00149455830642356
"159","CL",4201617719,0.00149011351155187
"160","DU",4186093215,0.00148460771004453
"161","GA",4175274057,0.00148077067045702
"162","QU",4160167957,0.00147541325690293
"163","UE",4158448570,0.00147480347229814
"164","FF",4125634219,0.0014631657862762
"165","BA",4122472992,0.0014620446497567
"166","EY",4053144855,0.00143745726447239
"167","LS",3990203351,0.00141513491345895
"168","VA",3946966167,0.00139980074543398
"169","UM",3901923211,0.00138382615616273
"170","PP",3850125519,0.00136545598403418
"171","UA",3844138094,0.00136333252981045
"172","UP",3835093459,0.00136012482893856
"173","LU",3811884104,0.00135189357712251
"174","GO",3725558729,0.00132127808178708
"175","HT",3670802795,0.00130185876224212
"176","RU",3618438291,0.0012832875689174
"177","UG",3606562400,0.00127907575650981
"178","DS",3560125353,0.00126260674961793
"179","LT",3486149365,0.00123637099314948
"180","PI",3470838749,0.00123094104751958
"181","RC",3422694015,0.00121386640545516
"182","RR",3404547067,0.00120743054807433
"183","EG",3370515965,0.00119536133847588
"184","AU",3356322923,0.00119032774306843
"185","CK",3316660134,0.00117626124255662
"186","EW",3293529190,0.00116805779938437
"187","MU",3231856188,0.00114618532556016
"188","BR",3145611704,0.00111559851840631
"189","BI",3005679357,0.00106597118557569
"190","PT",2982699529,0.00105782133604485
"191","AK",2952167845,0.00104699320319186
"192","PU",2947681332,0.00104540205090525
"193","UI",2852182384,0.00101153312653588
"194","RG",2813274913,0.000997734501312261
"195","IB",2780268452,0.000986028683031316
"196","TL",2775935006,0.000984491816312819
"197","NY",2760941827,0.000979174450454429
"198","KI",2759841743,0.000978784303101225
"199","RK",2736041446,0.00097034347232829
"200","YS",2730343336,0.000968322624343259
"201","OB",2725791138,0.000966708176718387
"202","MM",2708822249,0.000960690120706156
"203","FU",2706168901,0.000959749104657083
"204","PH",2661480326,0.000943900197432999
"205","OG",2651165734,0.00094024210335275
"206","MS",2617582287,0.000928331655642838
"207","YE",2612941418,0.000926685760641261
"208","UD",2577213760,0.000914014863505342
"209","MB",2544901434,0.000902555221819108
"210","IP",2515455253,0.000892112065133701
"211","UB",2497666762,0.000885803335362938
"212","OI",2474275212,0.000877507467665713
"213","RL",2432373251,0.00086264683958804
"214","GU",2418410978,0.000857695086944006
"215","DR",2409399231,0.000854499049877935
"216","HR",2379584978,0.000843925355600317
"217","CC",2344219345,0.000831382851473972
"218","TW",2322619238,0.000823722323209795
"219","FT",2302659749,0.000816643643941075
"220","WN",2227183930,0.000789875968914678
"221","NU",2217508482,0.00078644454874289
"222","AF",2092395523,0.000742072946387665
"223","HU",2077887429,0.000736927617054512
"224","NN",2051719074,0.000727646948995576
"225","EO",2044268477,0.000725004577413644
"226","VO",2004982879,0.000711071848568639
"227","RV",1953555667,0.000692833068035106
"228","NF",1894270041,0.000671807282670597
"229","XP",1885334638,0.000668638321181966
"230","GN",1850801359,0.000656391013340657
"231","SM",1838392669,0.000651990242526586
"232","FL",1830098844,0.000649048818170187
"233","IZ",1814164135,0.000643397536504039
"234","OK",1813376076,0.000643118049543935
"235","NL",1798491132,0.000637839069480425
"236","MY",1753447198,0.000621864133359196
"237","GL",1709752272,0.000606367626067629
"238","AW",1689436638,0.000599162639145033
"239","JU",1655210582,0.000587024288656338
"240","OA",1620913259,0.00057486066316008
"241","EQ",1614312175,0.000572519573342506
"242","SY",1602829285,0.000568447139655051
"243","SL",1575646777,0.000558806799872233
"244","PS",1538723474,0.000545711864451855
"245","JO",1516687319,0.000537896690748721
"246","LF",1507867867,0.000534768851552343
"247","NV",1466426243,0.000520071483064057
"248","JE",1463052212,0.000518874875110231
"249","NK",1455100124,0.000516054648576944
"250","KN",1450401608,0.00051438830893253
"251","GS",1443474876,0.000511931727293172
"252","DY",1421751251,0.000504227393082564
"253","HY",1412343465,0.000500890899862585
"254","ZE",1402290616,0.000497325633547006
"255","KS",1339590722,0.00047508897008289
"256","XT",1315669490,0.000466605249430491
"257","BS",1292319275,0.000458324041287304
"258","IK",1209994695,0.000429127437218329
"259","DD",1205446875,0.000427514542261355
"260","CY",1176324279,0.000417186145749976
"261","RP",1173542093,0.00041619943700408
"262","SK",1112771273,0.000394646924127768
"263","XI",1111463633,0.000394183166555671
"264","OE",1089254517,0.00038630665183098
"265","OY",1020190223,0.000361812839081237
"266","WS",989253674,0.000350841119912874
"267","LV",984229060,0.000349059128853126
"268","DL",911886482,0.000323402665046145
"269","RF",909634941,0.000322604150785616
"270","EU",878402090,0.000311527347422729
"271","DG",874188188,0.000310032877262304
"272","WR",867361010,0.000307611602680953
"273","XA",834649781,0.00029601048911654
"274","YI",812619095,0.000288197255006996
"275","NM",782441941,0.000277494857044365
"276","EB",763383542,0.0002707357514432
"277","RB",753194669,0.000267122243899158
"278","TM",746621025,0.000264790885741504
"279","XC",746076293,0.000264597695268772
"280","EH",742240059,0.000263237165944311
"281","TC",736955048,0.000261362824481929
"282","GY",731420025,0.000259399815681354
"283","JA",729206855,0.000258614909785358
"284","HN",726288117,0.000257579772554569
"285","YP",702499946,0.000249143242295781
"286","ZA",702199296,0.000249036616072928
"287","GG",697999944,0.000247547306103897
"288","YM",667551857,0.000236748821121688
"289","SW",663415953,0.000235282013133657
"290","BJ",654853039,0.000232245155736575
"291","LM",649112313,0.000230209193887872
"292","CS",643530723,0.000228229669992271
"293","II",642384029,0.000227822992293991
"294","IX",621227893,0.000220319919379177
